* Strip t0 ec edead A0 A1 ealph dwidth pede C0 C1 C2 C3 C4
* Calibration run : x2503.601 Used 1.441 as edead for detector 1 (not working)
* and Dets 4, 5, 6 (no Gd source) -- 4/02/09
* 
* t0 modified by t0fix.C for Yellow and Blue
* 
* t0 modified by t0fix.C for Yellow and Blue
* Add 8 ns for each channel in det 1 1/31/2011
* 
* t0 modified by t0fix.C for Yellow and Blue
* 
Channel01=27.9 22.43   1.400 -250.0 13.00 7.840 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel02=25.9 20.46   1.444 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel03=25.6 23.88   1.452 -250.0 13.00 7.310 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel04=25.2 23.11   1.445 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel05=26.3 22.46   1.419 -250.0 13.00 7.230 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel06=18.9 24.78   1.427 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel07=24.3 23.29   1.444 -250.0 13.00 7.340 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel08=25.7 22.67   1.385 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel09=28.7 22.00   1.440 -250.0 13.00 7.640 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel10=24.7 22.86   1.413 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel11=25.9 21.61   1.436 -250.0 13.00 7.230 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel12=26.8 24.56   1.470 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel13=26.7 22.07   1.390 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel14=27.8 22.88   1.412 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel15=24.7 23.26   1.366 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel16=27.5 20.45   1.458 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel17=29.4 22.43   1.352 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel18=26.6 21.72   1.336 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel19=26.9 20.21   1.380 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel20=26.2 21.98   1.341 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel21=25.5 21.01   1.686 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel22=25.4 23.63   1.314 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel23=27.5 23.17   1.341 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel24=25.7 22.99   1.363 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel25=26.2 20.95   1.366 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel26=24.0 20.75   1.374 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel27=25.5 25.31   1.334 -250.0 13.00 7.280 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
