* Strip t0 ec edead A0 A1 ealph dwidth pede C0 C1 C2 C3 C4
Channel42=24.1 28.28   1.319 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel43=23.0 27.99   1.335 -250.0 13.00 7.130 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel44=24.5 27.57   1.264 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel45=24.7 27.71   1.260 -250.0 13.00 7.360 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel46=24.2 26.12   1.318 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel47=24.6 27.85   1.366 -250.0 13.00 7.320 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel48=25.3 25.52   1.291 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel49=24.0 27.99   1.369 -250.0 13.00 7.760 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel50=21.8 28.87   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel51=22.9 27.29   1.369 -250.0 13.00 7.150 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel52=24.9 24.82   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel53=25.3 29.18   1.369 -250.0 13.00 7.370 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel54=20.8 23.96   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel55=22.1 22.95   1.369 -250.0 13.00 7.480 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel56=22.9 27.99   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel57=24.8 24.71   1.369 -250.0 13.00 6.860 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel58=21.7 29.18   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel59=21.8 27.43   1.369 -250.0 13.00 7.420 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel60=24.3 24.06   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel61=24.3 24.60   1.369 -250.0 13.00 7.180 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel62=23.5 24.17   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel63=22.8 26.89   1.369 -250.0 13.00 7.130 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel64=25.3 27.02   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel65=23.2 24.71   1.369 -250.0 13.00 7.470 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel66=20.5 27.16   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel67=21.0 26.89   1.369 -250.0 13.00 7.050 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel68=21.6 27.71   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel69=23.1 27.43   1.369 -250.0 13.00 7.560 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel70=22.5 28.72   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel71=22.6 27.99   1.369 -250.0 13.00 7.070 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel72=23.0 27.99   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel73=25.8 25.88   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel74=22.5 25.40   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel75=23.1 28.28   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel76=24.9 26.25   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel77=25.8 26.25   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel78=24.3 24.17   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel79=23.6 27.43   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel80=25.3 28.87   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel81=23.4 23.55   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel82=21.5 28.57   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel83=22.0 23.44   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel84=24.3 27.43   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel85=23.2 28.57   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel86=24.2 26.50   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel87=22.3 27.85   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel88=24.4 27.71   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel89=24.7 23.75   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel90=22.8 29.65   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel91=22.9 29.18   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel92=23.6 25.76   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel93=24.0 27.43   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel94=22.7 26.63   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel95=24.1 26.12   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
Channel96=24.4 25.52   1.369 -250.0 13.00 8.000 50.0 0.0 15.2 1.27  0.000000 1.23E-07 -2.21E-11
